[2025-10-07T09:15:02.790+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2025-10-07T09:15:02.815+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: minio_to_snowflake.load_snowflake scheduled__2025-10-07T09:10:00+00:00 [queued]>
[2025-10-07T09:15:02.824+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: minio_to_snowflake.load_snowflake scheduled__2025-10-07T09:10:00+00:00 [queued]>
[2025-10-07T09:15:02.825+0000] {taskinstance.py:2306} INFO - Starting attempt 1 of 2
[2025-10-07T09:15:07.528+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1759738494.json to Snowflake stage
[2025-10-07T09:15:08.006+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1759738512.json to Snowflake stage
[2025-10-07T09:15:08.493+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1759738540.json to Snowflake stage
[2025-10-07T09:15:08.926+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1759738577.json to Snowflake stage
[2025-10-07T09:15:09.383+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1759738618.json to Snowflake stage
[2025-10-07T09:15:10.131+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1759738633.json to Snowflake stage
[2025-10-07T09:15:10.473+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1759738648.json to Snowflake stage
[2025-10-07T09:15:10.927+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1759738662.json to Snowflake stage
[2025-10-07T09:15:11.333+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1759738675.json to Snowflake stage
[2025-10-07T09:15:11.710+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1759738689.json to Snowflake stage
[2025-10-07T09:15:12.058+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1759738703.json to Snowflake stage
[2025-10-07T09:15:12.501+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1759738717.json to Snowflake stage
[2025-10-07T09:15:13.044+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1759738732.json to Snowflake stage
[2025-10-07T09:15:13.412+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1759738747.json to Snowflake stage
[2025-10-07T09:15:13.745+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1759738763.json to Snowflake stage
[2025-10-07T09:15:14.098+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1759738778.json to Snowflake stage
[2025-10-07T09:15:14.479+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1759738807.json to Snowflake stage
[2025-10-07T09:15:14.815+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1759738823.json to Snowflake stage
[2025-10-07T09:15:15.290+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1759738840.json to Snowflake stage
[2025-10-07T09:15:15.710+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1759738860.json to Snowflake stage
[2025-10-07T09:15:16.049+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1759738880.json to Snowflake stage
[2025-10-07T09:15:16.408+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1759738897.json to Snowflake stage
[2025-10-07T09:15:16.795+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1759738916.json to Snowflake stage
[2025-10-07T09:15:17.185+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1759738943.json to Snowflake stage
[2025-10-07T09:15:17.766+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1759738959.json to Snowflake stage
[2025-10-07T09:15:18.243+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1759738973.json to Snowflake stage
[2025-10-07T09:15:18.672+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1759738989.json to Snowflake stage
[2025-10-07T09:15:19.199+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1759739009.json to Snowflake stage
[2025-10-07T09:15:19.715+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1759739029.json to Snowflake stage
[2025-10-07T09:15:20.280+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1759739055.json to Snowflake stage
[2025-10-07T09:15:20.675+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1759739075.json to Snowflake stage
[2025-10-07T09:15:21.059+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1759739097.json to Snowflake stage
[2025-10-07T09:15:21.490+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1759739117.json to Snowflake stage
[2025-10-07T09:15:21.859+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1759739134.json to Snowflake stage
[2025-10-07T09:15:22.276+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1759739151.json to Snowflake stage
[2025-10-07T09:15:22.764+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1759739169.json to Snowflake stage
[2025-10-07T09:15:23.235+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1759739187.json to Snowflake stage
[2025-10-07T09:15:23.711+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1759739204.json to Snowflake stage
[2025-10-07T09:15:24.130+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1759739225.json to Snowflake stage
[2025-10-07T09:15:24.525+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1759739242.json to Snowflake stage
[2025-10-07T09:15:24.895+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1759739260.json to Snowflake stage
[2025-10-07T09:15:25.290+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1759739276.json to Snowflake stage
[2025-10-07T09:15:25.647+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1759739290.json to Snowflake stage
[2025-10-07T09:15:26.246+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1759739304.json to Snowflake stage
[2025-10-07T09:15:26.981+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1759739319.json to Snowflake stage
[2025-10-07T09:15:27.374+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1759739333.json to Snowflake stage
[2025-10-07T09:15:27.927+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1759739346.json to Snowflake stage
[2025-10-07T09:15:28.324+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1759739360.json to Snowflake stage
[2025-10-07T09:15:28.693+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1759739375.json to Snowflake stage
[2025-10-07T09:15:29.162+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1759739391.json to Snowflake stage
[2025-10-07T09:15:29.539+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1759739406.json to Snowflake stage
[2025-10-07T09:15:30.159+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1759739425.json to Snowflake stage
[2025-10-07T09:15:30.517+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1759739439.json to Snowflake stage
[2025-10-07T09:15:30.854+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1759739452.json to Snowflake stage
[2025-10-07T09:15:31.211+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1759739468.json to Snowflake stage
[2025-10-07T09:15:31.623+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1759739481.json to Snowflake stage
[2025-10-07T09:15:31.984+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1759739495.json to Snowflake stage
[2025-10-07T09:15:32.382+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1759739513.json to Snowflake stage
[2025-10-07T09:15:32.749+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1759739528.json to Snowflake stage
[2025-10-07T09:15:33.102+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1759739545.json to Snowflake stage
[2025-10-07T09:15:33.425+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1759739561.json to Snowflake stage
[2025-10-07T09:15:33.849+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1759739589.json to Snowflake stage
[2025-10-07T09:15:34.194+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1759739644.json to Snowflake stage
[2025-10-07T09:15:34.621+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1759739662.json to Snowflake stage
[2025-10-07T09:15:35.005+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1759739678.json to Snowflake stage
[2025-10-07T09:15:35.365+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1759739697.json to Snowflake stage
[2025-10-07T09:15:35.739+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1759739713.json to Snowflake stage
[2025-10-07T09:15:36.137+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1759739732.json to Snowflake stage
[2025-10-07T09:15:36.515+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1759739749.json to Snowflake stage
[2025-10-07T09:15:36.889+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1759739765.json to Snowflake stage
[2025-10-07T09:15:37.254+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1759739782.json to Snowflake stage
[2025-10-07T09:15:37.885+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1759739809.json to Snowflake stage
[2025-10-07T09:15:38.268+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1759739824.json to Snowflake stage
[2025-10-07T09:15:38.640+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1759739841.json to Snowflake stage
[2025-10-07T09:15:38.999+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1759739858.json to Snowflake stage
[2025-10-07T09:15:39.366+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1759739874.json to Snowflake stage
[2025-10-07T09:15:39.725+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1759739892.json to Snowflake stage
[2025-10-07T09:15:40.058+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1759739910.json to Snowflake stage
[2025-10-07T09:15:40.406+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1759739931.json to Snowflake stage
[2025-10-07T09:15:40.785+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1759739943.json to Snowflake stage
[2025-10-07T09:15:41.182+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1759739956.json to Snowflake stage
[2025-10-07T09:15:41.536+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1759739969.json to Snowflake stage
[2025-10-07T09:15:41.860+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1759739982.json to Snowflake stage
[2025-10-07T09:15:42.241+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1759739995.json to Snowflake stage
[2025-10-07T09:15:42.614+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1759740011.json to Snowflake stage
[2025-10-07T09:15:43.002+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1759740024.json to Snowflake stage
[2025-10-07T09:15:43.379+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1759740037.json to Snowflake stage
[2025-10-07T09:15:43.787+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1759740053.json to Snowflake stage
[2025-10-07T09:15:44.212+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1759740066.json to Snowflake stage
[2025-10-07T09:15:44.575+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1759740084.json to Snowflake stage
[2025-10-07T09:15:44.934+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1759740099.json to Snowflake stage
[2025-10-07T09:15:45.242+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1759740118.json to Snowflake stage
[2025-10-07T09:15:45.566+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1759740132.json to Snowflake stage
[2025-10-07T09:15:45.999+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1759740145.json to Snowflake stage
[2025-10-07T09:15:46.666+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1759740161.json to Snowflake stage
[2025-10-07T09:15:47.134+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1759740175.json to Snowflake stage
[2025-10-07T09:15:47.488+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1759740189.json to Snowflake stage
[2025-10-07T09:15:47.852+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1759740208.json to Snowflake stage
[2025-10-07T09:15:48.357+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1759738390.json to Snowflake stage
[2025-10-07T09:15:48.750+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1759738403.json to Snowflake stage
[2025-10-07T09:15:49.107+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1759738420.json to Snowflake stage
[2025-10-07T09:15:49.477+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1759738449.json to Snowflake stage
[2025-10-07T09:15:49.828+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1759738469.json to Snowflake stage
[2025-10-07T09:15:50.198+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1759738486.json to Snowflake stage
[2025-10-07T09:15:50.608+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1759738503.json to Snowflake stage
[2025-10-07T09:15:50.981+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1759738523.json to Snowflake stage
[2025-10-07T09:15:51.546+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1759738567.json to Snowflake stage
[2025-10-07T09:15:51.902+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1759738600.json to Snowflake stage
[2025-10-07T09:15:52.408+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1759738625.json to Snowflake stage
[2025-10-07T09:15:52.722+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1759738640.json to Snowflake stage
[2025-10-07T09:15:53.273+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1759738655.json to Snowflake stage
[2025-10-07T09:15:53.751+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1759738668.json to Snowflake stage
[2025-10-07T09:15:54.152+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1759738681.json to Snowflake stage
[2025-10-07T09:15:54.490+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1759738696.json to Snowflake stage
[2025-10-07T09:15:54.892+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1759738709.json to Snowflake stage
[2025-10-07T09:15:55.255+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1759738724.json to Snowflake stage
[2025-10-07T09:15:55.694+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1759738739.json to Snowflake stage
[2025-10-07T09:15:56.210+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1759738755.json to Snowflake stage
[2025-10-07T09:15:56.607+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1759738771.json to Snowflake stage
[2025-10-07T09:15:56.976+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1759738798.json to Snowflake stage
[2025-10-07T09:15:57.998+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1759738815.json to Snowflake stage
[2025-10-07T09:15:58.459+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1759738832.json to Snowflake stage
[2025-10-07T09:15:59.321+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1759738851.json to Snowflake stage
[2025-10-07T09:15:59.712+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1759738872.json to Snowflake stage
[2025-10-07T09:16:00.366+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1759738887.json to Snowflake stage
[2025-10-07T09:16:00.740+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1759738906.json to Snowflake stage
[2025-10-07T09:16:01.062+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1759738934.json to Snowflake stage
[2025-10-07T09:16:01.444+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1759738951.json to Snowflake stage
[2025-10-07T09:16:01.802+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1759738965.json to Snowflake stage
[2025-10-07T09:16:02.182+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1759738981.json to Snowflake stage
[2025-10-07T09:16:02.558+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1759738999.json to Snowflake stage
[2025-10-07T09:16:02.933+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1759739021.json to Snowflake stage
[2025-10-07T09:16:03.442+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1759739045.json to Snowflake stage
[2025-10-07T09:16:03.836+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1759739067.json to Snowflake stage
[2025-10-07T09:16:04.237+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1759739087.json to Snowflake stage
[2025-10-07T09:16:04.563+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1759739108.json to Snowflake stage
[2025-10-07T09:16:05.078+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1759739126.json to Snowflake stage
[2025-10-07T09:16:05.468+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1759739143.json to Snowflake stage
[2025-10-07T09:16:05.867+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1759739159.json to Snowflake stage
[2025-10-07T09:16:06.293+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1759739178.json to Snowflake stage
[2025-10-07T09:16:06.700+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1759739195.json to Snowflake stage
[2025-10-07T09:16:07.418+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1759739215.json to Snowflake stage
[2025-10-07T09:16:07.799+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1759739234.json to Snowflake stage
[2025-10-07T09:16:08.194+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1759739252.json to Snowflake stage
[2025-10-07T09:16:09.166+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1759739268.json to Snowflake stage
[2025-10-07T09:16:09.635+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1759739282.json to Snowflake stage
[2025-10-07T09:16:10.069+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1759739296.json to Snowflake stage
[2025-10-07T09:16:10.441+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1759739311.json to Snowflake stage
[2025-10-07T09:16:10.817+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1759739325.json to Snowflake stage
[2025-10-07T09:16:11.192+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1759739339.json to Snowflake stage
[2025-10-07T09:16:11.661+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1759739352.json to Snowflake stage
[2025-10-07T09:16:12.046+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1759739366.json to Snowflake stage
[2025-10-07T09:16:12.455+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1759739383.json to Snowflake stage
[2025-10-07T09:16:12.821+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1759739397.json to Snowflake stage
[2025-10-07T09:16:13.250+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1759739418.json to Snowflake stage
[2025-10-07T09:16:13.662+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1759739431.json to Snowflake stage
[2025-10-07T09:16:14.058+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1759739445.json to Snowflake stage
[2025-10-07T09:16:14.419+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1759739459.json to Snowflake stage
[2025-10-07T09:16:14.765+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1759739473.json to Snowflake stage
[2025-10-07T09:16:15.110+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1759739487.json to Snowflake stage
[2025-10-07T09:16:15.758+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1759739504.json to Snowflake stage
[2025-10-07T09:16:16.131+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1759739520.json to Snowflake stage
[2025-10-07T09:16:16.749+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1759739537.json to Snowflake stage
[2025-10-07T09:16:17.084+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1759739553.json to Snowflake stage
[2025-10-07T09:16:17.490+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1759739581.json to Snowflake stage
[2025-10-07T09:16:18.278+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1759739597.json to Snowflake stage
[2025-10-07T09:16:18.744+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1759739636.json to Snowflake stage
[2025-10-07T09:16:19.209+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1759739653.json to Snowflake stage
[2025-10-07T09:16:19.741+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1759739670.json to Snowflake stage
[2025-10-07T09:16:20.356+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1759739688.json to Snowflake stage
[2025-10-07T09:16:20.836+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1759739705.json to Snowflake stage
[2025-10-07T09:16:21.283+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1759739724.json to Snowflake stage
[2025-10-07T09:16:21.643+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1759739740.json to Snowflake stage
[2025-10-07T09:16:22.001+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1759739757.json to Snowflake stage
[2025-10-07T09:16:22.437+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1759739774.json to Snowflake stage
[2025-10-07T09:16:22.817+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1759739800.json to Snowflake stage
[2025-10-07T09:16:23.375+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1759739816.json to Snowflake stage
